date,Price
11/28/2014 0:00,376.28
11/29/2014 0:00,376.72
11/30/2014 0:00,373.34
12/01/2014 0:00,378.39
12/02/2014 0:00,379.25
12/03/2014 0:00,376.67
12/04/2014 0:00,365.2
12/05/2014 0:00,374.95
12/06/2014 0:00,375.07
12/07/2014 0:00,376.87
12/08/2014 0:00,364.61
12/09/2014 0:00,350.49
12/10/2014 0:00,348.13
12/11/2014 0:00,348.98
12/12/2014 0:00,354.48
12/13/2014 0:00,351.45
12/14/2014 0:00,350.17
12/15/2014 0:00,350.17
12/16/2014 0:00,330.02
12/17/2014 0:00,321.1
12/18/2014 0:00,312.17
12/19/2014 0:00,318
12/20/2014 0:00,329.99
12/21/2014 0:00,323.15
12/22/2014 0:00,330.52
12/23/2014 0:00,335.49
12/24/2014 0:00,322.14
12/25/2014 0:00,319.39
12/26/2014 0:00,330.88
12/27/2014 0:00,315.89
12/28/2014 0:00,316.63
12/29/2014 0:00,314.78
12/30/2014 0:00,311.94
12/31/2014 0:00,319.25
01/01/2015 0:00,316.31
01/02/2015 0:00,316.51
01/03/2015 0:00,286.01
01/04/2015 0:00,264.62
01/05/2015 0:00,276.8
01/06/2015 0:00,276.8
01/07/2015 0:00,276.8
01/08/2015 0:00,276.8
01/09/2015 0:00,276.8
01/10/2015 0:00,276.8
01/11/2015 0:00,276.8
01/12/2015 0:00,268.16
1/13/2015 0:00,221
1/14/2015 0:00,162
1/15/2015 0:00,208.81
1/16/2015 0:00,206.6
1/17/2015 0:00,200.1
1/18/2015 0:00,211.42
1/19/2015 0:00,216.88
1/20/2015 0:00,211.08
1/21/2015 0:00,228.59
1/22/2015 0:00,233
1/23/2015 0:00,233.03
1/24/2015 0:00,249.99
1/25/2015 0:00,253.09
1/26/2015 0:00,269.5
1/27/2015 0:00,262.99
1/28/2015 0:00,236.2
1/29/2015 0:00,234.75
1/30/2015 0:00,232.6
1/31/2015 0:00,217.98
02/01/2015 0:00,214.8
02/02/2015 0:00,237.97
02/03/2015 0:00,227.35
