date,Price
03/01/2012,4.9
04/01/2012,4.8
05/01/2012,5
06/01/2012,5.3
07/01/2012,6.6
08/01/2012,9.6
09/01/2012,10
10/01/2012,12.4
11/01/2012,10.6
12/01/2012,12.6
03/02/2012,4.7
04/02/2012,5
05/02/2012,5.1
06/02/2012,5.3
07/02/2012,6.8
08/02/2012,10.5
09/02/2012,10.2
10/02/2012,12.8
11/02/2012,10.5
12/02/2012,12.5
03/03/2012,4.6
04/03/2012,4.9
05/03/2012,5.1
06/03/2012,5.2
07/03/2012,6.4
08/03/2012,11
09/03/2012,10.5
10/03/2012,12.9
11/03/2012,10.6
12/03/2012,12.7
03/04/2012,4.8
04/04/2012,4.9
05/04/2012,5.1
06/04/2012,5.3
07/04/2012,6.5
08/04/2012,11
09/04/2012,10.4
10/04/2012,12.9
11/04/2012,10.8
12/04/2012,13.4
03/05/2012,5
04/05/2012,4.9
05/05/2012,5.1
06/05/2012,5.4
07/05/2012,6.7
08/05/2012,10.9
09/05/2012,11
10/05/2012,12.7
11/05/2012,10.8
12/05/2012,13.4
03/06/2012,5
04/06/2012,4.9
05/06/2012,5.1
06/06/2012,5.5
07/06/2012,6.7
08/06/2012,10.9
09/06/2012,11.2
10/06/2012,12.5
11/06/2012,10.9
12/06/2012,13.3
03/07/2012,4.9
04/07/2012,4.7
05/07/2012,5.1
06/07/2012,5.6
07/07/2012,6.8
08/07/2012,11.1
09/07/2012,11
10/07/2012,11.8
11/07/2012,10.9
12/07/2012,13.5
03/08/2012,4.9
04/08/2012,4.8
05/08/2012,5.1
06/08/2012,5.6
07/08/2012,6.8
08/08/2012,11.1
09/08/2012,11
10/08/2012,11.8
11/08/2012,10.9
12/08/2012,13.4
02/09/2012,5.8
03/09/2012,4.9
04/09/2012,4.9
05/09/2012,5
06/09/2012,5.6
07/09/2012,7
08/09/2012,11.1
09/09/2012,11
10/09/2012,11.9
11/09/2012,10.8
12/09/2012,13.4
02/10/2012,5.9
03/10/2012,4.8
04/10/2012,4.8
05/10/2012,4.8
06/10/2012,5.5
07/10/2012,7.2
08/10/2012,11.4
09/10/2012,11.2
10/10/2012,12.1
11/10/2012,10.9
12/10/2012,13.4
02/11/2012,5.6
03/11/2012,4.9
04/11/2012,4.9
05/11/2012,5
06/11/2012,5.6
07/11/2012,7.2
08/11/2012,11.5
09/11/2012,11.3
10/11/2012,12
11/11/2012,10.9
12/11/2012,13.6
02/12/2012,5.5
03/12/2012,4.9
04/12/2012,4.9
05/12/2012,4.9
06/12/2012,5.7
07/12/2012,7.8
08/12/2012,11.6
09/12/2012,11.4
10/12/2012,12
11/12/2012,11
12/12/2012,13.7
01/01/2013,13.3
02/01/2013,20.5
03/01/2013,34.5
04/01/2013,104
05/01/2013,116.4
06/01/2013,129.3
07/01/2013,88.1
08/01/2013,104
09/01/2013,146
10/01/2013,140.3
11/01/2013,213.4
12/01/2013,1004.4
01/02/2013,13.3
02/02/2013,19.6
03/02/2013,34.3
04/02/2013,118
05/02/2013,106.3
06/02/2013,122.5
07/02/2013,90.4
08/02/2013,104.5
09/02/2013,144
10/02/2013,123
11/02/2013,211.7
12/02/2013,1096.6
01/03/2013,13.4
02/03/2013,20.6
03/03/2013,34.5
04/03/2013,135
05/03/2013,98.1
06/03/2013,120.7
07/03/2013,78.9
08/03/2013,104.9
09/03/2013,144
10/03/2013,131
11/03/2013,224
12/03/2013,1154.9
01/04/2013,13.5
02/04/2013,20.4
03/04/2013,36.2
04/04/2013,132.1
05/04/2013,112.9
06/04/2013,121.4
07/04/2013,80
08/04/2013,105.1
09/04/2013,132.5
10/04/2013,136.8
11/04/2013,238.2
12/04/2013,1237.6
01/05/2013,13.4
02/05/2013,20.6
03/05/2013,40.3
04/05/2013,142.3
05/05/2013,116
06/05/2013,121.9
07/05/2013,68.5
08/05/2013,106.7
09/05/2013,130.2
10/05/2013,136.7
11/05/2013,251.3
12/05/2013,1106.3
01/06/2013,13.4
02/06/2013,21.2
03/06/2013,41
04/06/2013,142.6
05/06/2013,112.3
06/06/2013,119
07/06/2013,69.7
08/06/2013,106.6
09/06/2013,121.9
10/06/2013,137.8
11/06/2013,264.1
12/06/2013,845
01/07/2013,13.6
02/07/2013,22.1
03/07/2013,42
04/07/2013,162.3
05/07/2013,109.6
06/07/2013,111
07/07/2013,76.5
08/07/2013,106
09/07/2013,129
10/07/2013,135.8
11/07/2013,309.6
12/07/2013,697
01/08/2013,13.7
02/08/2013,22.7
03/08/2013,44.2
04/08/2013,187.5
05/08/2013,113.2
06/08/2013,107.9
07/08/2013,76
08/08/2013,103.1
09/08/2013,126.3
10/08/2013,136.5
11/08/2013,355
12/08/2013,804
01/09/2013,13.8
02/09/2013,23.6
03/09/2013,46.8
04/09/2013,230
05/09/2013,112.8
06/09/2013,100.4
07/09/2013,76.7
08/09/2013,102.8
09/09/2013,133.1
10/09/2013,139.5
11/09/2013,367.8
12/09/2013,919
01/10/2013,14.1
02/10/2013,24
03/10/2013,46
04/10/2013,165
05/10/2013,117.7
06/10/2013,106.3
07/10/2013,88
08/10/2013,103
09/10/2013,132.6
10/10/2013,140.4
11/10/2013,336.3
12/10/2013,1033.7
01/11/2013,14.1
02/11/2013,24.6
03/11/2013,48.4
04/11/2013,124.9
05/11/2013,115.6
06/11/2013,109
07/11/2013,89
08/11/2013,105
09/11/2013,142.1
10/11/2013,140.1
11/11/2013,363
12/11/2013,919.9
01/12/2013,14.2
02/12/2013,25.2
03/12/2013,44.3
04/12/2013,117
05/12/2013,114.8
06/12/2013,108.8
07/12/2013,94
08/12/2013,106.8
09/12/2013,139.4
10/12/2013,142.9
11/12/2013,380
12/12/2013,900
01/01/2014,815.9
02/01/2014,940.4
03/01/2014,557.4
04/01/2014,463.5
05/01/2014,460.1
06/01/2014,649.8
07/01/2014,643.2
08/01/2014,598.8
09/01/2014,477.2
10/01/2014,382.8
11/01/2014,325.4
12/01/2014,378.6
01/02/2014,856.9
02/02/2014,953.3
03/02/2014,544.6
04/02/2014,424.4
05/02/2014,453.7
06/02/2014,655.5
07/02/2014,645.7
08/02/2014,591.7
09/02/2014,478.9
10/02/2014,375.1
11/02/2014,322.5
12/02/2014,380.6
01/03/2014,884.3
02/03/2014,931.7
03/03/2014,662.2
04/03/2014,436.3
05/03/2014,438.6
06/03/2014,669.4
07/03/2014,638
08/03/2014,588.9
09/03/2014,480
10/03/2014,363.5
11/03/2014,324.2
12/03/2014,377
01/04/2014,924.7
02/04/2014,926.6
03/04/2014,661.8
04/04/2014,444.4
05/04/2014,436
06/04/2014,638.9
07/04/2014,624
08/04/2014,592.8
09/04/2014,491
10/04/2014,335.3
11/04/2014,328
12/04/2014,369.8
01/05/2014,1014.7
02/05/2014,904.5
03/05/2014,658.3
04/05/2014,456.6
05/05/2014,430.9
06/05/2014,660.2
07/05/2014,623
08/05/2014,588.8
09/05/2014,483.6
10/05/2014,322.9
11/05/2014,338
12/05/2014,377.6
01/06/2014,1012.7
02/06/2014,828.9
03/06/2014,648.3
04/06/2014,455.7
05/06/2014,432.2
06/06/2014,650.4
07/06/2014,626.7
08/06/2014,589.8
09/06/2014,484.5
10/06/2014,331.5
11/06/2014,347.7
12/06/2014,376.3
01/07/2014,879.9
02/07/2014,695.7
03/07/2014,616.7
04/07/2014,462.4
05/07/2014,446.5
06/07/2014,651.7
07/07/2014,613.6
08/07/2014,592.8
09/07/2014,485.8
10/07/2014,331.6
11/07/2014,341.9
12/07/2014,376.5
01/08/2014,938.8
02/08/2014,648.8
03/08/2014,609.2
04/08/2014,466.6
05/08/2014,441.1
06/08/2014,651
07/08/2014,615.3
08/08/2014,595.8
09/08/2014,475.7
10/08/2014,350.9
11/08/2014,343.5
12/08/2014,365
01/09/2014,937
02/09/2014,659.6
03/09/2014,627
04/09/2014,457.3
05/09/2014,445.5
06/09/2014,644.3
07/09/2014,623
08/09/2014,589.5
09/09/2014,474.9
10/09/2014,360.9
11/09/2014,362
12/09/2014,352.2
01/10/2014,957.8
02/10/2014,582.6
03/10/2014,613
04/10/2014,384.6
05/10/2014,451.9
06/10/2014,655.6
07/10/2014,618.4
08/10/2014,592.1
09/10/2014,479.7
10/10/2014,361.7
11/10/2014,367.1
12/10/2014,347.9
01/11/2014,1005.3
02/11/2014,579
03/11/2014,608.7
04/11/2014,435.1
05/11/2014,433.2
06/11/2014,643
07/11/2014,632.9
08/11/2014,575.9
09/11/2014,478.5
10/11/2014,361.2
11/11/2014,365.4
12/11/2014,347.7
01/12/2014,939.8
02/12/2014,531.1
03/12/2014,619.4
04/12/2014,437.6
05/12/2014,438.2
06/12/2014,597.1
07/12/2014,635.9
08/12/2014,567.7
09/12/2014,477.7
10/12/2014,373.2
11/12/2014,432
12/12/2014,353.4
01/01/2015,314.9
02/01/2015,225.3
03/01/2015,257.9
04/01/2015,246.2
05/01/2015,233.2
06/01/2015,223.1
07/01/2015,257.6
08/01/2015,280.5
09/01/2015,227.2
10/01/2015,237.1
11/01/2015,323
12/01/2015,361.8
01/02/2015,315.2
02/02/2015,238.9
03/02/2015,273.8
04/02/2015,252.6
05/02/2015,235.3
06/02/2015,225.7
07/02/2015,254.9
08/02/2015,281.4
09/02/2015,228.6
10/02/2015,236.7
11/02/2015,359.3
12/02/2015,360
01/03/2015,287.1
02/03/2015,227.4
03/03/2015,280.6
04/03/2015,254.5
05/03/2015,240
06/03/2015,225.6
07/03/2015,255.4
08/03/2015,281.6
09/03/2015,226.2
10/03/2015,238.6
11/03/2015,396.5
12/03/2015,360.3
01/04/2015,264.7
02/04/2015,226.6
03/04/2015,271.9
