Date,Price,Volume
01/01/2017,995.4,41150
01/02/2017,1017,64950
01/03/2017,1033.3,54790
01/04/2017,1135.4,156270
01/05/2017,989.3,240010
01/06/2017,886.2,194290
01/07/2017,888.9,130660
01/08/2017,900.9,76910
01/09/2017,899.8,62580
01/10/2017,904.4,53710
01/11/2017,785.4,194440
01/12/2017,810.1,120240
01/13/2017,824.8,89860
01/14/2017,819.6,44210
01/15/2017,821.2,24400
01/16/2017,827.3,33220
01/17/2017,899.7,82210
01/18/2017,872,69260
01/19/2017,895.2,58440
01/20/2017,892.9,38870
01/21/2017,919.8,40380
01/22/2017,918.8,47930
01/23/2017,921.5,32740
01/24/2017,893.8,58870
01/25/2017,894.4,37900
01/26/2017,915.6,33800
01/27/2017,918,30970
01/28/2017,918.5,14310
01/29/2017,914.5,11050
01/30/2017,920.7,19060
01/31/2017,965.5,54670
02/01/2017,982.4,45220
02/02/2017,1004,50860
02/03/2017,1013,61670
02/04/2017,1031.8,39460
02/05/2017,1016.1,31060
02/06/2017,1024.7,32020
02/07/2017,1049.6,39550
02/08/2017,1055.5,65150
02/09/2017,979,146750
02/10/2017,997.6,62130
02/11/2017,1008.3,28320
02/12/2017,996.5,14750
02/13/2017,995.4,32910
02/14/2017,1008.3,39540
02/15/2017,1008.2,23360
02/16/2017,1031.9,38080
02/17/2017,1049.4,45710
02/18/2017,1052.3,25360
02/19/2017,1048.9,17950
02/20/2017,1077.6,31010
02/21/2017,1119,57050
02/22/2017,1120.5,47910
02/23/2017,1171.9,65740
02/24/2017,1176.5,108170
02/25/2017,1149.1,45860
02/26/2017,1171.6,30770
02/27/2017,1188.8,35470
02/28/2017,1189.3,50580
03/01/2017,1222.7,51150
03/02/2017,1255.5,78490
03/03/2017,1283.3,67280
03/04/2017,1264.3,38420
03/05/2017,1271.2,25430
03/06/2017,1277,31030
03/07/2017,1232.7,87720
03/08/2017,1147,97880
03/09/2017,1191.3,59860
03/10/2017,1112.4,190470
03/11/2017,1179.2,70750
03/12/2017,1225.1,44410
03/13/2017,1238.2,60460
03/14/2017,1243.1,45140
03/15/2017,1253.4,43590
03/16/2017,1172.9,132770
03/17/2017,1071.7,163740
03/18/2017,971.4,210420
03/19/2017,1022.6,106450
03/20/2017,1047.5,61430
03/21/2017,1121.3,92590
03/22/2017,1044.7,115290
03/23/2017,1035,56520
03/24/2017,939.7,132600
03/25/2017,966.3,127050
03/26/2017,969.4,85330
03/27/2017,1045.1,91260
03/28/2017,1044.4,80000
03/29/2017,1041.9,68850
03/30/2017,1037.9,74990
03/31/2017,1079.1,90990
04/01/2017,1086.1,50660
04/02/2017,1097.4,70980
04/03/2017,1147.6,98500
04/04/2017,1141.8,71000
04/05/2017,1129.9,69470
04/06/2017,1188.7,92360
04/07/2017,1190.5,59750
04/08/2017,1180.8,33180
04/09/2017,1204.3,45350
04/10/2017,1206.7,40010
04/11/2017,1220.7,37400
04/12/2017,1212.5,44780
04/13/2017,1176.2,66050
04/14/2017,1177.3,47220
04/15/2017,1177,28390
04/16/2017,1176.8,18930
04/17/2017,1194,46480
04/18/2017,1206.1,52750
04/19/2017,1215.2,43350
04/20/2017,1238.1,55200
04/21/2017,1249.6,41340
04/22/2017,1240.9,43820
04/23/2017,1249.1,42610
04/24/2017,1248.2,38540
04/25/2017,1264.3,43890
04/26/2017,1286.6,58910
04/27/2017,1332.9,61770
04/28/2017,1329.6,77570
04/29/2017,1336.3,40970
04/30/2017,1351.9,40640
05/01/2017,1415.8,100440
05/02/2017,1445.9,70010
05/03/2017,1485.6,81720
05/04/2017,1516.8,136710
05/05/2017,1507.8,120380
05/06/2017,1545.3,59600
05/07/2017,1554.4,71360
05/08/2017,1664.5,107230
05/09/2017,1697.5,127230
05/10/2017,1752.3,89680
05/11/2017,1819.3,109010
05/12/2017,1686.4,109340
05/13/2017,1763.7,75470
05/14/2017,1772.6,40640
05/15/2017,1708.9,80240
05/16/2017,1729.3,75540
05/17/2017,1801.3,94620
05/18/2017,1881,73100
05/19/2017,1962,98760
05/20/2017,2040.2,89860
05/21/2017,2044.2,78780
05/22/2017,2124.4,174380
05/23/2017,2272.6,114180
05/24/2017,2445.3,149260
05/25/2017,2307.2,248440
05/26/2017,2244.9,191490
05/27/2017,2052.4,222950
05/28/2017,2189,125000
05/29/2017,2278.2,92240
05/30/2017,2192.6,120960
05/31/2017,2303.3,117750
06/01/2017,2412.6,122700
06/02/2017,2492.6,83030
06/03/2017,2545.4,70960
06/04/2017,2524.1,59480
06/05/2017,2705,86690
06/06/2017,2870.5,192230
06/07/2017,2691.5,122680
06/08/2017,2798.8,95420
06/09/2017,2811.4,67050
06/10/2017,2900.3,86520
06/11/2017,2973.4,83030
